Entity,Identifier
Multinomial logistic regression,CoDiet_S3_74
Restricted Boltzmann machine,CoDiet_S3_75
Multilayer Perceptron,CoDiet_S3_76
Support vector classifier,CoDiet_S3_77
Support vector regressor,CoDiet_S3_78
Unsupervised learning,CoDiet_S3_79
Stepwise regression,CoDiet_S3_8
Expectation-maximization algorithm,CoDiet_S3_80
Feedforward neural network,CoDiet_S3_81
Convolutional neural network,CoDiet_S3_82
Recurrent neural network,CoDiet_S3_83
Long short-term memory,CoDiet_S3_84
Long short-term memory network,CoDiet_S3_84
LSTM,CoDiet_S3_84
Bidirectional long short-term memory,CoDiet_S3_85
Bidirectional long short-term memory network,CoDiet_S3_85
BiLSTM,CoDiet_S3_85
Hierarchical clustering,CoDiet_S3_86
Single-linkage clustering,CoDiet_S3_87
Complete-linkage clustering,CoDiet_S3_88
Average-linkage clustering,CoDiet_S3_89
MARS,CoDiet_S3_9
Multivariate adaptive regression splines,CoDiet_S3_9
Cluster analysis,CoDiet_S3_90
DBSCAN,CoDiet_S3_91
Expectation-maximization,CoDiet_S3_92
Fuzzy clustering,CoDiet_S3_93
k-Means,CoDiet_S3_94
K-means clustering,CoDiet_S3_94
K-medians,CoDiet_S3_95
K-medoids,CoDiet_S3_96
OPTICS algorithm,CoDiet_S3_97
Semi-supervised learning,CoDiet_S3_98
Generative models,CoDiet_S3_99
